,symbol,MarketCap
0,24CS.BK,698400000.0
1,2S.BK,1517988864.0
2,3K-BAT.BK,
3,A.BK,4743200256.0
4,A5.BK,2214639872.0
5,AAI.BK,10809270272.0
6,AAV.BK,17732999168.0
7,ABM.BK,602144768.0
8,ACAP.BK,134115688.0
9,ACC.BK,846150272.0
10,ACE.BK,12679615488.0
11,ACG.BK,420000000.0
12,ADB.BK,529979968.0
13,ADD.BK,554400000.0
14,ADVANC.BK,883340279808.0
15,ADVICE.BK,3658000128.0
16,AE.BK,617168576.0
17,AEONTS.BK,28968738816.0
18,AF.BK,752000000.0
19,AFC.BK,179562608.0
20,AGE.BK,1519584640.0
21,AH.BK,4738832896.0
22,AHC.BK,2083734912.0
23,AI.BK,2379996928.0
24,AIE.BK,1646976640.0
25,AIMCG.BK,576000000.0
26,AIMIRT.BK,8152451072.0
27,AIRA.BK,6693770752.0
28,AIT.BK,7651350016.0
29,AJ.BK,1491245440.0
30,AJA.BK,858326272.0
31,AKP.BK,286840000.0
32,AKR.BK,1427740800.0
33,AKS.BK,122198992.0
34,ALLA.BK,714000064.0
35,ALLY.BK,4195680000.0
36,ALPHAX.BK,3624025856.0
37,ALT.BK,1482955776.0
38,ALUCON.BK,8121596928.0
39,AMA.BK,2227042304.0
40,AMANAH.BK,1231486720.0
41,AMARC.BK,1646400000.0
42,AMARIN.BK,1707061632.0
43,AMATA.BK,20240001024.0
44,AMATAR.BK,2326284800.0
45,AMATAV.BK,2579473920.0
46,AMC.BK,1056211840.0
47,AMR.BK,324890528.0
48,ANAN.BK,2208115200.0
49,ANI.BK,5950560256.0
50,AOT.BK,564285145088.0
51,AP.BK,27526621184.0
52,APCO.BK,2016000000.0
53,APCS.BK,930599808.0
54,APEX.BK,
55,APO.BK,646000000.0
56,APP.BK,677600000.0
57,APURE.BK,2919221504.0
58,AQUA.BK,1028242368.0
59,ARIN.BK,546000000.0
60,ARIP.BK,233000000.0
61,ARROW.BK,1361553536.0
62,AS.BK,1347966208.0
63,ASAP.BK,878460032.0
64,ASEFA.BK,1931787392.0
65,ASIA.BK,1744000000.0
66,ASIAN.BK,6009790976.0
67,ASIMAR.BK,402934080.0
68,ASK.BK,5771088384.0
69,ASN.BK,190943952.0
70,ASP.BK,5651900416.0
71,ASW.BK,4948595200.0
72,ATP30.BK,648194560.0
73,AU.BK,5179209728.0
74,AUCT.BK,3492499968.0
75,AURA.BK,19076200448.0
76,AWC.BK,79392169984.0
77,AYUD.BK,12845809664.0
78,B-WORK.BK,1504704000.0
79,B.BK,403700448.0
80,B52.BK,533327904.0
81,BA.BK,28980000768.0
82,BAFS.BK,6502458880.0
83,BAM.BK,26664347648.0
84,BANPU.BK,50595463168.0
85,BAREIT.BK,10330000384.0
86,BAY.BK,175067119616.0
87,BBGI.BK,4482599936.0
88,BBIK.BK,4400340480.0
89,BBL.BK,282508754944.0
90,BC.BK,547696832.0
91,BCH.BK,33669001216.0
92,BCP.BK,44061540352.0
93,BCPG.BK,24415436800.0
94,BCT.BK,13875000320.0
95,BDMS.BK,333732052992.0
96,BE8.BK,1747080320.0
97,BEAUTY.BK,1916283776.0
98,BEC.BK,4520000000.0
99,BEM.BK,79382749184.0
100,BEYOND.BK,2015977600.0
101,BGC.BK,3388887040.0
102,BGRIM.BK,35453841408.0
103,BGT.BK,167219200.0
104,BH.BK,144286023680.0
105,BIG.BK,1340973952.0
106,BIOTEC.BK,763339584.0
107,BIS.BK,835240000.0
108,BIZ.BK,2246748928.0
109,BJC.BK,82961391616.0
110,BJCHI.BK,1352605056.0
111,BKD.BK,1237641472.0
112,BKGI.BK,1026000000.0
113,BKIH.BK,31629375488.0
114,BKKCP.BK,889999936.0
115,BLA.BK,32956020736.0
116,BLAND.BK,9023365120.0
117,BLC.BK,2688000000.0
118,BLESS.BK,248000000.0
119,BLISS.BK,996244800.0
120,BM.BK,1048356160.0
121,BOFFICE.BK,3689360384.0
122,BOL.BK,5046108672.0
123,BPP.BK,25600946176.0
124,BPS.BK,216000016.0
125,BR.BK,1644203648.0
126,BRI.BK,2993614592.0
127,BROCK.BK,1517000320.0
128,BRR.BK,3378337280.0
129,BSBM.BK,784822528.0
130,BSM.BK,119308352.0
131,BSRC.BK,16058381312.0
132,BTC.BK,3888295424.0
133,BTG.BK,35793801216.0
134,BTNC.BK,144000000.0
135,BTS.BK,53431427072.0
136,BTW.BK,105840000.0
137,BUI.BK,659973120.0
138,BVG.BK,855000000.0
139,BWG.BK,1566326272.0
140,BYD.BK,3230589696.0
141,CAZ.BK,658560000.0
142,CBG.BK,56249999360.0
143,CCET.BK,62700019712.0
144,CCP.BK,885769664.0
145,CEN.BK,901645952.0
146,CENTEL.BK,46912499712.0
147,CEYE.BK,521928096.0
148,CFARM.BK,504882816.0
149,CFRESH.BK,982724864.0
150,CGD.BK,991935424.0
151,CGH.BK,2491469312.0
152,CH.BK,1512000000.0
153,CHAO.BK,1379632000.0
154,CHARAN.BK,168000000.0
155,CHASE.BK,1390398592.0
156,CHAYO.BK,2331225600.0
157,CHEWA.BK,420759552.0
158,CHG.BK,18700001280.0
159,CHIC.BK,530399968.0
160,CHO.BK,76522088.0
161,CHOTI.BK,481875008.0
162,CHOW.BK,1080000000.0
163,CI.BK,394737024.0
164,CIG.BK,149463200.0
165,CIMBT.BK,12884237312.0
166,CITY.BK,519000000.0
167,CIVIL.BK,770000000.0
168,CK.BK,29406224384.0
169,CKP.BK,23900385280.0
170,CM.BK,651759232.0
171,CMAN.BK,2400000000.0
172,CMC.BK,628261440.0
173,CMO.BK,238657920.0
174,CMR.BK,6025265152.0
175,CNT.BK,1151252608.0
176,COCOCO.BK,12053999616.0
177,COLOR.BK,600744320.0
178,COM7.BK,60052455424.0
179,COMAN.BK,92074216.0
180,CPALL.BK,435457589248.0
181,CPANEL.BK,391628608.0
182,CPAXT.BK,236707921920.0
183,CPF.BK,178876432384.0
184,CPH.BK,392000000.0
185,CPI.BK,2037463552.0
186,CPL.BK,426648960.0
187,CPN.BK,258059993088.0
188,CPNCG.BK,2645161728.0
189,CPNREIT.BK,43814993920.0
190,CPR.BK,676554368.0
191,CPT.BK,900000000.0
192,CPTGF.BK,4931699712.0
193,CPW.BK,1332000000.0
194,CRANE.BK,348766496.0
195,CRC.BK,148362608640.0
196,CRD.BK,200000000.0
197,CREDIT.BK,21115750400.0
198,CSC.BK,2366035200.0
199,CSP.BK,258007776.0
200,CSR.BK,1486249984.0
201,CSS.BK,975863488.0
202,CTARAF.BK,1472000000.0
203,CTW.BK,1122095616.0
204,CV.BK,25647054.0
205,CWT.BK,730935104.0
206,D.BK,958147648.0
207,DCC.BK,12887367680.0
208,DCON.BK,1454311936.0
209,DDD.BK,2135515136.0
210,DELTA.BK,2026995056640.0
211,DEMCO.BK,2763601408.0
212,DEXON.BK,619449984.0
213,DHOUSE.BK,389866688.0
214,DIMET.BK,215280192.0
215,DITTO.BK,9645399040.0
216,DMT.BK,11812327424.0
217,DOD.BK,900828544.0
218,DOHOME.BK,14548131840.0
219,DPAINT.BK,197800000.0
220,DREIT.BK,3486350336.0
221,DRT.BK,4466182144.0
222,DTCENT.BK,1249985664.0
223,DTCI.BK,250000000.0
224,DUSIT.BK,13017389056.0
225,DV8.BK,9974889472.0
226,EA.BK,27330627584.0
227,EASON.BK,664539072.0
228,EASTW.BK,5323920896.0
229,ECF.BK,377813312.0
230,ECL.BK,
231,EE.BK,
232,EFORL.BK,759710656.0
233,EGCO.BK,61596405760.0
234,EKH.BK,4440000000.0
235,EMC.BK,502825312.0
236,EP.BK,1193609088.0
237,EPG.BK,9296000000.0
238,ERW.BK,13878879232.0
239,ESTAR.BK,954226816.0
240,ETC.BK,1635200000.0
241,ETE.BK,420000000.0
242,ETL.BK,520799968.0
243,EURO.BK,1244400000.0
244,EVER.BK,242739328.0
245,F&D.BK,1004585088.0
246,FANCY.BK,265421216.0
247,FE.BK,1558259968.0
248,FLOYD.BK,511109312.0
249,FM.BK,3911798272.0
250,FMT.BK,1248000000.0
251,FN.BK,540000000.0
252,FNS.BK,450585952.0
253,FORTH.BK,8090991104.0
254,FPI.BK,2390587392.0
255,FPT.BK,15539155968.0
256,FSMART.BK,6138101248.0
257,FSX.BK,1241789696.0
258,FTE.BK,1181399808.0
259,FTI.BK,891000000.0
260,FTREIT.BK,33818888192.0
261,FUTUREPF.BK,6619575296.0
262,FVC.BK,271268608.0
263,GABLE.BK,2142065536.0
264,GAHREIT.BK,895049984.0
265,GBX.BK,566319680.0
266,GC.BK,1768799488.0
267,GCAP.BK,233015856.0
268,GEL.BK,344481952.0
269,GENCO.BK,321525568.0
270,GFC.BK,774400000.0
271,GFPT.BK,12914357248.0
272,GGC.BK,3951353344.0
273,GIFT.BK,
274,GJS.BK,3568198912.0
275,GL.BK,
276,GLAND.BK,4809873920.0
277,GLOBAL.BK,46456561664.0
278,GLOCON.BK,686808000.0
279,GLORY.BK,297531424.0
280,GPI.BK,954000000.0
281,GPSC.BK,112084246528.0
282,GRAMMY.BK,3788167680.0
283,GRAND.BK,467056032.0
284,GREEN.BK,662600000.0
285,GROREIT.BK,2535750144.0
286,GSC.BK,
287,GSTEEL.BK,2603592192.0
288,GTB.BK,672000000.0
289,GTV.BK,1181786112.0
290,GULF.BK,683497553920.0
291,GUNKUL.BK,17375254528.0
292,GVREIT.BK,5336940032.0
293,GYT.BK,1417100032.0
294,HANA.BK,22798190592.0
295,HARN.BK,1163154944.0
296,HEALTH.BK,169072208.0
297,HENG.BK,4533900288.0
298,HFT.BK,2818098944.0
299,HL.BK,2051872000.0
300,HMPRO.BK,102491455488.0
301,HPF.BK,2340600064.0
302,HPT.BK,251590160.0
303,HTC.BK,6028814848.0
304,HTECH.BK,810000960.0
305,HUMAN.BK,5644306944.0
306,HYDRO.BK,1398610560.0
307,HYDROGEN.BK,1817549952.0
308,I2.BK,344400000.0
309,ICC.BK,12499999744.0
310,ICHI.BK,16510000128.0
311,ICN.BK,1384526848.0
312,IFS.BK,1085699968.0
313,IHL.BK,954417088.0
314,IIG.BK,230714256.0
315,III.BK,3827228672.0
316,ILINK.BK,2718161664.0
317,ILM.BK,7322500096.0
318,IMH.BK,1019107776.0
319,IMPACT.BK,15121499136.0
320,IND.BK,451500000.0
321,INET.BK,2398895872.0
322,INETREIT.BK,5498788352.0
323,INGRS.BK,448552256.0
324,INOX.BK,3274197760.0
325,INSET.BK,1471119232.0
326,INSURE.BK,924000000.0
327,INTUCH.BK,
328,IP.BK,2263988224.0
329,IRC.BK,2171947008.0
330,IRCP.BK,255627376.0
331,IRPC.BK,26125555712.0
332,IT.BK,1494907264.0
333,ITC.BK,47099998208.0
334,ITD.BK,2164746240.0
335,ITEL.BK,2209247744.0
336,ITNS.BK,319769984.0
337,ITTHI.BK,410704000.0
338,IVL.BK,130819055616.0
339,J.BK,1358479744.0
340,JAK.BK,252800000.0
341,JAS.BK,12438105088.0
342,JCK.BK,608439552.0
343,JCKH.BK,51469000.0
344,JCT.BK,1076625024.0
345,JDF.BK,990000000.0
346,JKN.BK,319825728.0
347,JMART.BK,14786113536.0
348,JMT.BK,18830639104.0
349,JPARK.BK,1728000128.0
350,JR.BK,1383200000.0
351,JSP.BK,868472128.0
352,JTS.BK,23842932736.0
353,JUBILE.BK,1254766464.0
354,K.BK,596145856.0
355,KAMART.BK,11079892992.0
356,KASET.BK,194600000.0
357,KBANK.BK,387385065472.0
358,KBS.BK,3470333696.0
359,KC.BK,99806040.0
360,KCAR.BK,1437500032.0
361,KCC.BK,1780802944.0
362,KCE.BK,30143258624.0
363,KCG.BK,4904999936.0
364,KCM.BK,156400000.0
365,KDH.BK,1647656960.0
366,KEX.BK,5222405632.0
367,KGEN.BK,1404753280.0
368,KGI.BK,8006887424.0
369,KIAT.BK,948816960.0
370,KISS.BK,1780297856.0
371,KJL.BK,1507985664.0
372,KK.BK,301874944.0
373,KKC.BK,60000000.0
374,KKP.BK,48267649024.0
375,KLINIQ.BK,6489999872.0
376,KOOL.BK,657107392.0
377,KPNPF.BK,406800000.0
378,KSL.BK,6218427904.0
379,KTB.BK,356389552128.0
380,KTBSTMR.BK,1688400000.0
381,KTC.BK,79283765248.0
382,KTIS.BK,8028799488.0
383,KTMS.BK,600000000.0
384,KUMWEL.BK,490200000.0
385,KUN.BK,721058112.0
386,KWC.BK,1620000000.0
387,KWI.BK,116058992.0
388,KWM.BK,498316416.0
389,KYE.BK,5761800192.0
390,L&E.BK,546164416.0
391,LALIN.BK,4717496832.0
392,LANNA.BK,8347494912.0
393,LDC.BK,246000000.0
394,LEE.BK,2356056576.0
395,LEO.BK,655325184.0
396,LH.BK,53534715904.0
397,LHFG.BK,16099580928.0
398,LHHOTEL.BK,13111499776.0
399,LHK.BK,1363479936.0
400,LHPF.BK,1716000000.0
401,LHSC.BK,9492388864.0
402,LIT.BK,385350176.0
403,LOXLEY.BK,3895722496.0
404,LPF.BK,26411264000.0
405,LPH.BK,3052799744.0
406,LPN.BK,2522471936.0
407,LRH.BK,5625541120.0
408,LST.BK,3870399744.0
409,LTS.BK,1150052096.0
410,LUXF.BK,1709549952.0
411,M-CHAI.BK,3200000000.0
412,M-II.BK,1040600064.0
413,M-PAT.BK,
414,M-STOR.BK,431680000.0
415,M.BK,28464285696.0
416,MAGURO.BK,2671200000.0
417,MAJOR.BK,6214929920.0
418,MALEE.BK,3465393408.0
419,MANRIN.BK,686092800.0
420,MASTER.BK,4223964416.0
421,MATCH.BK,961403392.0
422,MATI.BK,722861056.0
423,MBAX.BK,282264160.0
424,MBK.BK,25017014272.0
425,MC.BK,8949600256.0
426,MCA.BK,296700000.0
427,MCOT.BK,2610977024.0
428,MCS.BK,4006799872.0
429,MDX.BK,1255565952.0
430,MEB.BK,5369999872.0
431,MEGA.BK,27463888896.0
432,MENA.BK,704640000.0
433,META.BK,214864368.0
434,METCO.BK,4639355904.0
435,MFC.BK,3266008576.0
436,MFEC.BK,2317631232.0
437,MGC.BK,3388999680.0
438,MGI.BK,2078999936.0
439,MGT.BK,688000000.0
440,MICRO.BK,944350016.0
441,MIDA.BK,726188480.0
442,MILL.BK,634096320.0
443,MINT.BK,138914430976.0
444,MIPF.BK,1880999936.0
445,MIT.BK,
446,MITSIB.BK,768677760.0
447,MJD.BK,447414208.0
448,MJLF.BK,1458600064.0
449,MK.BK,939977216.0
450,ML.BK,489806944.0
451,MNIT.BK,266340000.0
452,MNIT2.BK,676200000.0
453,MNRF.BK,225749984.0
454,MODERN.BK,1458000000.0
455,MONO.BK,5033028608.0
