,symbol,MarketCap
456,MOONG.BK,632925440.0
457,MORE.BK,358837440.0
458,MOSHI.BK,13529998336.0
459,MSC.BK,2808000000.0
460,MST.BK,4052783104.0
461,MTC.BK,91160002560.0
462,MTI.BK,10325000192.0
463,MTW.BK,1019941184.0
464,MUD.BK,1032319040.0
465,MVP.BK,215845952.0
466,NAM.BK,2954269184.0
467,NAT.BK,1024676160.0
468,NATION.BK,488156448.0
469,NC.BK,356849760.0
470,NCAP.BK,4455000064.0
471,NCH.BK,684906048.0
472,NCL.BK,160443184.0
473,NCP.BK,212399984.0
474,NDR.BK,575683456.0
475,NEO.BK,6810000384.0
476,NEP.BK,581345152.0
477,NER.BK,8130274816.0
478,NETBAY.BK,4659999744.0
479,NEW.BK,962499968.0
480,NEWS.BK,3672897536.0
481,NEX.BK,8684628992.0
482,NFC.BK,1338034688.0
483,NKI.BK,767600000.0
484,NL.BK,405000000.0
485,NNCL.BK,3072382208.0
486,NOBLE.BK,3067486464.0
487,NOK.BK,633962304.0
488,NOVA.BK,1105835136.0
489,NPK.BK,131000000.0
490,NRF.BK,878947584.0
491,NSL.BK,9224999936.0
492,NTSC.BK,813331264.0
493,NTV.BK,4000000000.0
494,NUSA.BK,
495,NV.BK,524145568.0
496,NVD.BK,1745518464.0
497,NWR.BK,103419256.0
498,NYT.BK,3695200000.0
499,OCC.BK,585000000.0
500,OGC.BK,223972512.0
501,OHTL.BK,4891687424.0
502,ONEE.BK,5619749888.0
503,OR.BK,169200009216.0
504,ORI.BK,7558696960.0
505,ORN.BK,1095000064.0
506,OSP.BK,57071247360.0
507,PACO.BK,1410000000.0
508,PAF.BK,507600000.0
509,PANEL.BK,256500000.0
510,PAP.BK,1359600000.0
511,PATO.BK,1181687680.0
512,PB.BK,22499999744.0
513,PCC.BK,3262807040.0
514,PCE.BK,6820000256.0
515,PCSGH.BK,4552999936.0
516,PDG.BK,819719808.0
517,PDJ.BK,782665984.0
518,PEACE.BK,1038235136.0
519,PEER.BK,158238976.0
520,PERM.BK,275997152.0
521,PF.BK,800886464.0
522,PG.BK,720000000.0
523,PHG.BK,4380000256.0
524,PHOL.BK,567000640.0
525,PICO.BK,865484096.0
526,PIMO.BK,850096704.0
527,PIN.BK,5312799744.0
528,PJW.BK,1227764480.0
529,PK.BK,317661344.0
530,PL.BK,811253376.0
531,PLANB.BK,22817386496.0
532,PLANET.BK,1041676800.0
533,PLAT.BK,3780000000.0
534,PLE.BK,417624192.0
535,PLT.BK,614400000.0
536,PLUS.BK,2010000000.0
537,PM.BK,6697440256.0
538,PMC.BK,407738912.0
539,PMTA.BK,1032240000.0
540,POLAR.BK,474595968.0
541,POLY.BK,3195000064.0
542,POPF.BK,3034325760.0
543,PORT.BK,479690144.0
544,PPM.BK,658321088.0
545,PPP.BK,351000000.0
546,PPPM.BK,331745216.0
547,PPS.BK,232160912.0
548,PQS.BK,1393600000.0
549,PR9.BK,18084900864.0
550,PRAKIT.BK,664952896.0
551,PRAPAT.BK,393626464.0
552,PREB.BK,1123582336.0
553,PRECHA.BK,248640000.0
554,PRG.BK,6599772160.0
555,PRI.BK,1648000000.0
556,PRIME.BK,340358848.0
557,PRIN.BK,1830017664.0
558,PRINC.BK,7617141248.0
559,PRM.BK,14521110528.0
560,PRO.BK,162007200.0
561,PROEN.BK,596703424.0
562,PROS.BK,347474720.0
563,PROSPECT.BK,4669000192.0
564,PROUD.BK,1042195072.0
565,PRTR.BK,2160000000.0
566,PSG.BK,18847805440.0
567,PSH.BK,10200739840.0
568,PSL.BK,10615636992.0
569,PSP.BK,7000000000.0
570,PSTC.BK,1420518144.0
571,PT.BK,3406667776.0
572,PTC.BK,356700000.0
573,PTECH.BK,348941664.0
574,PTG.BK,15029999616.0
575,PTL.BK,8954999808.0
576,PTT.BK,942016888832.0
577,PTTEP.BK,460518293504.0
578,PTTGC.BK,125120561152.0
579,PYLON.BK,1619726592.0
580,Q-CON.BK,2820000000.0
581,QH.BK,15535709184.0
582,QHHRREIT.BK,2083199872.0
583,QHOP.BK,593029952.0
584,QHPF.BK,3682139904.0
585,QLT.BK,218822048.0
586,QTC.BK,1275686144.0
587,QTCG.BK,120000000.0
588,RABBIT.BK,2844026368.0
589,RAM.BK,21359998976.0
590,RATCH.BK,58181251072.0
591,RBF.BK,8180141568.0
592,RCL.BK,22997813248.0
593,READY.BK,369599904.0
594,RICHY.BK,455930400.0
595,RJH.BK,3932611840.0
596,RML.BK,927235328.0
597,ROCK.BK,199000000.0
598,ROCTEC.BK,6575561216.0
599,ROH.BK,1136089856.0
600,ROJNA.BK,10102308864.0
601,RP.BK,178722336.0
602,RPC.BK,456632416.0
603,RPH.BK,2641426944.0
604,RS.BK,611021056.0
605,RSP.BK,906460032.0
606,RT.BK,457980256.0
607,RWI.BK,265430336.0
608,S&J.BK,
609,S.BK,4249306112.0
610,S11.BK,2108720000.0
611,SA.BK,8632151040.0
612,SAAM.BK,1775200000.0
613,SABINA.BK,5629500416.0
614,SABUY.BK,
615,SAF.BK,126000000.0
616,SAFARI.BK,
617,SAFE.BK,2294806016.0
618,SAK.BK,8509760000.0
619,SALEE.BK,608193664.0
620,SAM.BK,188122528.0
621,SAMART.BK,6190000640.0
622,SAMCO.BK,532694368.0
623,SAMTEL.BK,3028200448.0
624,SANKO.BK,297662496.0
625,SAPPE.BK,10463624192.0
626,SAT.BK,5782637056.0
627,SAUCE.BK,13589999616.0
628,SAV.BK,8937954304.0
629,SAWAD.BK,49014456320.0
630,SAWANG.BK,177600000.0
631,SBNEXT.BK,
632,SC.BK,8896707584.0
633,SCAP.BK,9679791104.0
634,SCB.BK,424255520768.0
635,SCC.BK,276000014336.0
636,SCCC.BK,44849000448.0
637,SCG.BK,2885965056.0
638,SCGD.BK,8332500480.0
639,SCGP.BK,82424070144.0
640,SCI.BK,937500032.0
641,SCL.BK,335000000.0
642,SCM.BK,178890848.0
643,SCN.BK,655409344.0
644,SCP.BK,2173709824.0
645,SDC.BK,1725818496.0
646,SE-ED.BK,744694400.0
647,SE.BK,332930656.0
648,SEAFCO.BK,1659916160.0
649,SEAOIL.BK,2024809984.0
650,SECURE.BK,1304810624.0
651,SELIC.BK,1600752896.0
652,SENA.BK,2773235200.0
653,SENX.BK,1256193024.0
654,SFLEX.BK,2162192128.0
655,SFT.BK,1012000000.0
656,SGC.BK,6926410240.0
657,SGF.BK,301300000.0
658,SGP.BK,12313681920.0
659,SHANG.BK,6565000192.0
660,SHR.BK,6216997376.0
661,SIAM.BK,444844352.0
662,SICT.BK,1334399616.0
663,SIMAT.BK,726392384.0
664,SINGER.BK,6113266688.0
665,SINO.BK,1123200000.0
666,SIRI.BK,27354458112.0
667,SIRIP.BK,
668,SIS.BK,7494251008.0
669,SISB.BK,13630000128.0
670,SITHAI.BK,2847697664.0
671,SJWD.BK,18298216448.0
672,SK.BK,280600000.0
673,SKE.BK,256680000.0
674,SKN.BK,4560000000.0
675,SKR.BK,16284468224.0
676,SKY.BK,10615742464.0
677,SLM.BK,10246200.0
678,SLP.BK,528000000.0
679,SM.BK,1001000000.0
680,SMART.BK,604110592.0
681,SMD.BK,
682,SMIT.BK,1961000064.0
683,SMK.BK,
684,SMPC.BK,4819556864.0
685,SMT.BK,1252703488.0
686,SNC.BK,2190259456.0
687,SNNP.BK,8685048832.0
688,SNP.BK,5080772096.0
689,SO.BK,2152198144.0
690,SOLAR.BK,522848320.0
691,SONIC.BK,1151871488.0
692,SORKON.BK,1244809856.0
693,SPA.BK,4386146816.0
694,SPACK.BK,423000000.0
695,SPALI.BK,34400800768.0
696,SPC.BK,19057500160.0
697,SPCG.BK,8868635648.0
698,SPG.BK,4416000000.0
699,SPI.BK,37318426624.0
700,SPRC.BK,21896296448.0
701,SPREME.BK,1058199936.0
702,SPRIME.BK,1572560000.0
703,SPVI.BK,888000000.0
704,SQ.BK,597563136.0
705,SR.BK,318049024.0
706,SRICHA.BK,2819899136.0
707,SRIPANWA.BK,1384157440.0
708,SRS.BK,425600000.0
709,SSC.BK,
710,SSF.BK,1471494528.0
711,SSP.BK,4919949312.0
712,SSPF.BK,617900032.0
713,SSSC.BK,1343995520.0
714,SST.BK,858124160.0
715,SSTRT.BK,844883008.0
716,STA.BK,20582400000.0
717,STANLY.BK,13984062464.0
718,STC.BK,227200000.0
719,STEC.BK,
720,STECH.BK,812000000.0
721,STGT.BK,19769741312.0
722,STHAI.BK,163386000.0
723,STI.BK,1350713472.0
724,STOWER.BK,184868768.0
725,STP.BK,1160000000.0
726,STPI.BK,9151975424.0
727,STX.BK,420774400.0
728,SUC.BK,8924999680.0
729,SUN.BK,2708988160.0
730,SUPER.BK,4102421248.0
731,SUSCO.BK,2469999616.0
732,SUTHA.BK,913230464.0
733,SVI.BK,12919261184.0
734,SVOA.BK,1212074752.0
735,SVR.BK,275400000.0
736,SVT.BK,952000000.0
737,SWC.BK,1965004928.0
738,SYMC.BK,1916754560.0
739,SYNEX.BK,10676751360.0
740,SYNTEC.BK,3130271488.0
741,TACC.BK,2928000000.0
742,TAE.BK,590000000.0
743,TAKUNI.BK,432000160.0
744,TAN.BK,1286560000.0
745,TAPAC.BK,222406736.0
746,TASCO.BK,24464605184.0
747,TBN.BK,478000032.0
748,TC.BK,1732499968.0
749,TCAP.BK,52954550272.0
750,TCC.BK,474487072.0
751,TCJ.BK,289333056.0
752,TCMC.BK,366336544.0
753,TCOAT.BK,259350016.0
754,TEAM.BK,1490728192.0
755,TEAMG.BK,2584569344.0
756,TEGH.BK,3628800000.0
757,TEKA.BK,525000000.0
758,TERA.BK,276000000.0
759,TFG.BK,31445411840.0
760,TFI.BK,1514360192.0
761,TFM.BK,5900000256.0
762,TFMAMA.BK,64292278272.0
763,TGE.BK,3717303040.0
764,TGH.BK,9025171456.0
765,TGPRO.BK,283167584.0
766,TH.BK,569057152.0
767,THAI.BK,410397736960.0
768,THANA.BK,271827520.0
769,THANI.BK,11399671808.0
770,THCOM.BK,11509070848.0
771,THE.BK,958793472.0
772,THG.BK,9515522048.0
773,THIP.BK,2317491968.0
774,THMUI.BK,132599992.0
775,THRE.BK,1938897280.0
776,THREL.BK,787400000.0
777,TIDLOR.BK,59076964352.0
778,TIF1.BK,643500032.0
779,TIGER.BK,193200000.0
780,TIPCO.BK,4126056192.0
781,TIPH.BK,13609294848.0
782,TISCO.BK,79864397824.0
783,TITLE.BK,3222068992.0
784,TK.BK,2450000128.0
785,TKC.BK,3800000000.0
786,TKN.BK,8462999552.0
787,TKS.BK,3022845440.0
788,TKT.BK,399889184.0
789,TLHPF.BK,681120000.0
790,TLI.BK,122515005440.0
791,TM.BK,332640224.0
792,TMC.BK,362452000.0
793,TMD.BK,3900000000.0
794,TMI.BK,409580064.0
795,TMILL.BK,893007488.0
796,TMT.BK,2734180352.0
797,TMW.BK,2144625024.0
798,TNDT.BK,259737424.0
799,TNH.BK,5849999872.0
800,TNITY.BK,583181184.0
801,TNL.BK,8834057216.0
802,TNP.BK,2560000000.0
803,TNPC.BK,316956960.0
804,TNPF.BK,207936272.0
805,TNR.BK,2024999936.0
806,TOA.BK,28303333376.0
807,TOG.BK,3462521600.0
808,TOP.BK,82651914240.0
809,TOPP.BK,831000000.0
810,TPA.BK,349920000.0
811,TPAC.BK,2661382144.0
812,TPBI.BK,1250639744.0
813,TPCH.BK,1171504000.0
814,TPCS.BK,1274400000.0
815,TPIPL.BK,15148187648.0
816,TPIPP.BK,18816000000.0
817,TPL.BK,340600000.0
818,TPLAS.BK,259200000.0
819,TPOLY.BK,280652160.0
820,TPP.BK,431249984.0
821,TPRIME.BK,3887250176.0
822,TPS.BK,1418585216.0
823,TQM.BK,8669010944.0
824,TQR.BK,1264999936.0
825,TR.BK,5292000256.0
826,TRC.BK,950451712.0
827,TRITN.BK,875871552.0
828,TRP.BK,1912800768.0
829,TRT.BK,973306112.0
830,TRU.BK,2714059264.0
831,TRUBB.BK,678753920.0
832,TRUE.BK,393893904384.0
833,TRV.BK,475200000.0
834,TSC.BK,3611219968.0
835,TSE.BK,1142216832.0
836,TSI.BK,95145688.0
837,TSTE.BK,4178266112.0
838,TSTH.BK,6231940096.0
839,TTA.BK,8846299136.0
840,TTB.BK,177431494656.0
841,TTCL.BK,486640064.0
842,TTI.BK,1350000000.0
843,TTLPF.BK,1926000000.0
844,TTT.BK,2834160128.0
845,TTW.BK,36309004288.0
846,TU-PF.BK,86510896.0
847,TU.BK,47803162624.0
848,TURTLE.BK,10252593152.0
849,TVDH.BK,157713184.0
850,TVH.BK,2728066816.0
851,TVO.BK,22903883776.0
852,TVT.BK,248009328.0
853,TWP.BK,325683552.0
854,TWPC.BK,2007359744.0
855,TWZ.BK,595827136.0
856,TYCN.BK,1056245568.0
857,UAC.BK,1989466496.0
858,UBA.BK,564000000.0
859,UBE.BK,2074571520.0
860,UBIS.BK,342000320.0
861,UEC.BK,462113568.0
862,UKEM.BK,780409600.0
863,UMI.BK,761219392.0
864,UMS.BK,620970816.0
865,UNIQ.BK,3610594048.0
866,UOBKH.BK,2688099840.0
867,UP.BK,542500032.0
868,UPF.BK,195000000.0
869,UPOIC.BK,2122527488.0
870,UREKA.BK,978754816.0
871,UTP.BK,5070000128.0
872,UV.BK,2122238464.0
873,UVAN.BK,11091999744.0
874,VARO.BK,489520384.0
875,VCOM.BK,908735360.0
876,VGI.BK,40303456256.0
877,VIBHA.BK,19822665728.0
878,VIH.BK,4684444160.0
879,VL.BK,1065263808.0
880,VNG.BK,3678703360.0
881,VPO.BK,554600000.0
882,VRANDA.BK,1432173824.0
883,W.BK,
884,WACOAL.BK,2256000000.0
885,WARRIX.BK,1319539200.0
886,WAVE.BK,458253664.0
887,WELL.BK,
888,WFX.BK,454916000.0
889,WGE.BK,510000000.0
890,WHA.BK,57096904704.0
891,WHABT.BK,1201899904.0
892,WHAIR.BK,6458717184.0
893,WHART.BK,34341390336.0
894,WHAUP.BK,15911999488.0
895,WICE.BK,1999918336.0
896,WIIK.BK,837683072.0
897,WIN.BK,224457600.0
898,WINDOW.BK,790320000.0
899,WINMED.BK,544000000.0
900,WINNER.BK,1271946240.0
901,WORK.BK,1881047808.0
902,WP.BK,1990969472.0
903,WPH.BK,4795849216.0
904,XO.BK,7109183488.0
905,XPG.BK,5778103296.0
906,YGG.BK,319058496.0
907,YONG.BK,612000000.0
908,YUASA.BK,1248450048.0
909,ZAA.BK,1280617344.0
910,ZEN.BK,2027654784.0
911,ZIGA.BK,929033856.0
912,^SET.BK,
